,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,LIVERPOOL,40,15,5,0,49,9,11,7,2,38,15,90,88
1,2,Manchester United,40,14,5,1,41,17,9,7,4,30,21,81,88
2,3,Nottingham Forest,40,11,7,2,40,17,9,6,5,27,22,73,88
3,4,Everton,40,14,4,2,34,11,5,9,6,19,16,70,88
4,5,Queen's Park Rangers,40,12,4,4,30,14,7,6,7,18,24,67,88
5,6,Arsenal,40,11,4,5,35,16,7,8,5,23,23,66,88
6,7,Wimbledon,40,8,9,3,32,20,6,6,8,26,27,57,88
7,8,Newcastle United,40,9,6,5,32,23,5,8,7,23,30,56,88
8,9,Luton Town,40,11,6,3,40,21,3,5,12,17,37,53,88
9,10,Coventry City,40,6,8,6,23,25,7,6,7,23,28,53,88
10,11,Sheffield Wednesday,40,10,2,8,27,30,5,6,9,25,36,53,88
11,12,Southampton,40,6,8,6,27,26,6,6,8,22,27,50,88
12,13,Tottenham Hotspur,40,9,5,6,26,23,3,6,11,12,25,47,88
13,14,Norwich City,40,7,5,8,26,26,5,4,11,14,26,45,88
14,15,Derby County,40,6,7,7,18,17,4,6,10,17,28,43,88
15,16,West Ham United,40,6,9,5,23,21,3,6,11,17,31,42,88
16,17,Charlton Athletic,40,7,7,6,23,21,2,8,10,15,31,42,88
17,18,CHELSEA,40,7,11,2,24,17,2,4,14,26,51,42,88
18,19,PORTSMOUTH,40,4,8,8,21,27,3,6,11,15,39,35,88
19,20,WATFORD,40,4,5,11,15,24,3,6,11,12,27,32,88
20,21,OXFORD UNITED,40,5,7,8,24,34,1,6,13,20,46,31,88
